"id","date","trial_time","value","x","y","word_one","word_two","trial_number","chunk_number","prolific_id","study_id","session_id"
"10251","2025-04-30T18:51:40.846Z","5342","23","75","28","Not Like Fire","Like Fire","84","4","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10252","2025-04-30T18:51:41.332Z","7550","24","121","70","Not Like Fire","Like Fire","42","30","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10253","2025-04-30T18:51:40.820Z","2112","18","40","208","Not Like Fire","Like Fire","16","45","67e70536203c9f5fe50b336d","6810e3157d4c55bd8e56b312","68126f9830b574940d8327b2"
"10254","2025-04-30T18:51:43.012Z","2751","62","83","193","Not Like Fire","Like Fire","19","15","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10255","2025-04-30T18:51:43.809Z","3037","13","198","82","Not Like Fire","Like Fire","24","62","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10256","2025-04-30T18:51:44.034Z","7867","76","43","13","Not Like Fire","Like Fire","54","78","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10257","2025-04-30T18:51:44.238Z","3392","81","75","28","Not Like Fire","Like Fire","85","77","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10258","2025-04-30T18:51:45.083Z","4263","79","40","208","Not Like Fire","Like Fire","17","87","67e70536203c9f5fe50b336d","6810e3157d4c55bd8e56b312","68126f9830b574940d8327b2"
"10259","2025-04-30T18:51:45.853Z","6786","46","298","165","Not Like Fire","Like Fire","81","62","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10260","2025-04-30T18:51:45.639Z","2627","31","83","193","Not Like Fire","Like Fire","20","41","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10261","2025-04-30T18:51:46.542Z","2733","56","198","82","Not Like Fire","Like Fire","25","21","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10262","2025-04-30T18:51:47.011Z","5679","61","121","70","Not Like Fire","Like Fire","43","65","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10263","2025-04-30T18:51:47.100Z","2017","0","40","208","Not Like Fire","Like Fire","18","9","67e70536203c9f5fe50b336d","6810e3157d4c55bd8e56b312","68126f9830b574940d8327b2"
